Sample	Arc1	Arc2	Arc3	ENiClust	Subgroup
CURTIS_H004059_T01_01_WG01	0.345694288799989	0.567061428167012	0.087244283032999	ic8	ER+ Typical
CURTIS_H004060_T01_01_WG01	0.245117612053174	0.0456293079736048	0.709253079973221	ic1	ER+ High
CURTIS_H004061_T01_01_WG01	0.141763926814152	0.771237314211212	0.0869987589746354	ic3/ic7	ER+ Typical
CURTIS_H004062_T01_01_WG01	0.346833541583239	0.186725235203373	0.466441223213388	ic6	ER+ High
CURTIS_H004063_T01_01_WG01	0.530004798362334	0.352649560237072	0.117345641400594	ic1	ER+ High
CURTIS_H004064_T01_01_WG01	0.584077952961391	0.0979817085145029	0.317940338524106	ic1	ER+ High
CURTIS_H004065_T01_01_WG01	0.373864203300245	0.626135796699755	0	ic3/ic7	ER+ Typical
CURTIS_H004067_T01_01_WG01	0.393221811677889	0.606778188322111	0	ic8	ER+ Typical
CURTIS_H004068_T01_01_WG01	0.429134148001181	0	0.570865851998819	ic2	ER+ High
CURTIS_H004069_T01_01_WG01	0.463493382533151	0.0415196666001737	0.494986950866675	ic9	ER+ High
CURTIS_H004070_T02_01_WG01	0.0723885217816093	0.524421448871554	0.403190029346836	ic2	ER+ High
CURTIS_H004071_T01_01_WG01	0	0.462175751072711	0.537824248927288	ic2	ER+ High
CURTIS_H004072_T01_01_WG01	0.35870886697369	0.525992820239713	0.115298312786598	ic9	ER+ High
CURTIS_H004073_T01_01_WG01	0.512676497026573	0.439640252808845	0.0476832501645819	ic6	ER+ High
CURTIS_H004074_T01_01_WG01	0.095017675685223	0.684049790406712	0.220932533908066	ic2	ER+ High
CURTIS_H004075_T01_01_WG01	0.233673297240184	0.485043595510603	0.281283107249213	ic3/ic7	ER+ Typical
CURTIS_H004076_T01_01_WG01	0.431064380928729	0.0449898896487234	0.523945729422548	ic4	ER+ Typical
CURTIS_H004077_T01_01_WG01	0.286026050816327	0.508756382536446	0.205217566647227	ic3/ic7	ER+ Typical
CURTIS_H004078_T01_01_WG01	0	0.672940528142886	0.327059471857114	ic3/ic7	ER+ Typical
CURTIS_H004079_T01_01_WG01	0.120642256633813	0.507667489735804	0.371690253630383	ic2	ER+ High
CURTIS_H004080_T01_01_WG01	0.614948957387089	0	0.385051042612911	ic3/ic7	ER+ Typical
CURTIS_H004081_T01_01_WG01	0	0.248475250199702	0.751524749800298	ic6	ER+ High
CURTIS_H004082_T02_01_WG01	0.222117221380985	0.777882778619015	0	ic6	ER+ High
CURTIS_H004083_T01_01_WG01	0	0.419628891070811	0.580371108929189	ic9	ER+ High
CURTIS_H004084_T01_01_WG01	0.329826888274723	0.0304373210755722	0.639735790649705	ic1	ER+ High
CURTIS_H004085_T01_01_WG01	0.372748143847668	0.378519049342119	0.248732806810212	ic3/ic7	ER+ Typical
CURTIS_H004086_T01_01_WG01	0	0.691904275781818	0.308095724218182	ic6	ER+ High
CURTIS_H004087_T01_01_WG01	0.266438004226293	0.136905680818295	0.596656314955412	ic3/ic7	ER+ Typical
CURTIS_H004088_T01_01_WG01	0.323023727162323	0.00842041329823173	0.668555859539445	ic1	ER+ High
CURTIS_H004089_T01_01_WG01	0	0.68724408862561	0.31275591137439	ic3/ic7	ER+ Typical
CURTIS_H004090_T02_01_WG01	0.426884452248553	0.00960939134953344	0.563506156401913	ic3/ic7	ER+ Typical
CURTIS_H004091_T01_01_WG01	0.00326260573701192	0.560299685103381	0.436437709159607	ic3/ic7	ER+ Typical
CURTIS_H004092_T02_01_WG01	0.0957960411013923	0.531278696817341	0.372925262081266	ic9	ER+ High
