Sample,group,name,value
CURTIS_H001612_T01_01_WG01,IC10,fraction_loh,0.15
CURTIS_H001612_T01_01_WG01,IC10,SV_dama,89
CURTIS_H001617_T01_01_WG01,IC10,fraction_cna,0.64
CURTIS_H001617_T01_01_WG01,IC10,fraction_loh,0.17
CURTIS_H001617_T01_01_WG01,IC10,SV_dama,10
CURTIS_H001618_T01_01_WG01,IC10,fraction_cna,0.68
CURTIS_H001618_T01_01_WG01,IC10,fraction_loh,0.078
CURTIS_H001618_T01_01_WG01,IC10,SV_dama,75
CURTIS_H001619_T01_01_WG01,IC10,fraction_cna,0.7
CURTIS_H001619_T01_01_WG01,IC10,fraction_loh,0.24
CURTIS_H001619_T01_01_WG01,IC10,SV_dama,227
CURTIS_H001621_T01_01_WG01,IC4ER-,fraction_cna,0.14
CURTIS_H001621_T01_01_WG01,IC4ER-,fraction_loh,0.014
CURTIS_H001621_T01_01_WG01,IC4ER-,SV_dama,37
CURTIS_H001622_T01_01_WG01,IC10,fraction_cna,0.93
CURTIS_H001622_T01_01_WG01,IC10,fraction_loh,0.1
CURTIS_H001622_T01_01_WG01,IC10,SV_dama,264
CURTIS_H001623_T01_01_WG01,IC10,fraction_cna,0.71
CURTIS_H001623_T01_01_WG01,IC10,fraction_loh,0.23
CURTIS_H001623_T01_01_WG01,IC10,SV_dama,204
CURTIS_H001624_T01_01_WG01,IC4ER-,fraction_cna,0.14
CURTIS_H001624_T01_01_WG01,IC4ER-,fraction_loh,0.00018
CURTIS_H001624_T01_01_WG01,IC4ER-,SV_dama,5
CURTIS_H001628_T01_01_WG01,IC4ER-,fraction_cna,0.99
CURTIS_H001628_T01_01_WG01,IC4ER-,fraction_loh,0.5
CURTIS_H001628_T01_01_WG01,IC4ER-,SV_dama,32
CURTIS_H001629_T01_01_WG01,IC4ER-,fraction_cna,0.72
CURTIS_H001629_T01_01_WG01,IC4ER-,fraction_loh,0.61
CURTIS_H001629_T01_01_WG01,IC4ER-,SV_dama,40
CURTIS_H001632_T01_01_WG01,IC10,fraction_cna,0.67
CURTIS_H001632_T01_01_WG01,IC10,fraction_loh,0.16
CURTIS_H001632_T01_01_WG01,IC10,SV_dama,34
CURTIS_H001634_T01_01_WG01,IC4ER-,fraction_cna,0.27
CURTIS_H001634_T01_01_WG01,IC4ER-,fraction_loh,0.12
CURTIS_H001634_T01_01_WG01,IC4ER-,SV_dama,58
CURTIS_H001635_T01_01_WG01,IC10,fraction_cna,0.53
CURTIS_H001635_T01_01_WG01,IC10,fraction_loh,0.15
CURTIS_H001635_T01_01_WG01,IC10,SV_dama,34
CURTIS_H001638_T01_01_WG01,IC4ER-,fraction_cna,0.22
CURTIS_H001638_T01_01_WG01,IC4ER-,fraction_loh,0.19
CURTIS_H001638_T01_01_WG01,IC4ER-,SV_dama,13
CURTIS_H001641_T01_01_WG01,IC4ER-,fraction_cna,0.25
CURTIS_H001641_T01_01_WG01,IC4ER-,fraction_loh,0.11
CURTIS_H001641_T01_01_WG01,IC4ER-,SV_dama,14
CURTIS_H001643_T01_01_WG01,IC10,fraction_cna,0.23
CURTIS_H001643_T01_01_WG01,IC10,fraction_loh,0.037
CURTIS_H001643_T01_01_WG01,IC10,SV_dama,156
CURTIS_H001644_T01_01_WG01,IC10,fraction_cna,0.57
CURTIS_H001644_T01_01_WG01,IC10,fraction_loh,0.26
CURTIS_H001644_T01_01_WG01,IC10,SV_dama,86
CURTIS_H001647_T01_01_WG01,IC10,fraction_cna,0.88
CURTIS_H001647_T01_01_WG01,IC10,fraction_loh,0.034
CURTIS_H001647_T01_01_WG01,IC10,SV_dama,109
CURTIS_H001648_T01_01_WG01,IC10,fraction_cna,0.83
CURTIS_H001648_T01_01_WG01,IC10,fraction_loh,0.16
CURTIS_H001648_T01_01_WG01,IC10,SV_dama,44
CURTIS_H001649_T01_01_WG01,IC10,fraction_cna,0.98
CURTIS_H001649_T01_01_WG01,IC10,fraction_loh,0.21
CURTIS_H001649_T01_01_WG01,IC10,SV_dama,32
CURTIS_H001657_T01_01_WG01,IC4ER-,fraction_cna,0.84
