Sample,group,name,value
CURTIS_H001587_T01_01_WG01,IC10,ddr,TRUE
CURTIS_H001587_T01_01_WG01,IC10,ubi,TRUE
CURTIS_H001587_T01_01_WG01,IC10,cell_cycle,FALSE
CURTIS_H001592_T01_01_WG01,IC10,ddr,TRUE
CURTIS_H001592_T01_01_WG01,IC10,ubi,FALSE
CURTIS_H001592_T01_01_WG01,IC10,cell_cycle,FALSE
CURTIS_H001594_T01_01_WG01,IC4ER-,ddr,TRUE
CURTIS_H001594_T01_01_WG01,IC4ER-,ubi,FALSE
CURTIS_H001594_T01_01_WG01,IC4ER-,cell_cycle,FALSE
CURTIS_H001597_T01_01_WG01,IC10,ddr,TRUE
CURTIS_H001597_T01_01_WG01,IC10,ubi,FALSE
CURTIS_H001597_T01_01_WG01,IC10,cell_cycle,TRUE
CURTIS_H001598_T01_01_WG01,IC10,ddr,TRUE
CURTIS_H001598_T01_01_WG01,IC10,ubi,FALSE
CURTIS_H001598_T01_01_WG01,IC10,cell_cycle,FALSE
CURTIS_H001599_T01_01_WG01,IC10,ddr,FALSE
CURTIS_H001599_T01_01_WG01,IC10,ubi,TRUE
CURTIS_H001599_T01_01_WG01,IC10,cell_cycle,FALSE
CURTIS_H001600_T01_01_WG01,IC10,ddr,TRUE
CURTIS_H001600_T01_01_WG01,IC10,ubi,FALSE
CURTIS_H001600_T01_01_WG01,IC10,cell_cycle,FALSE
CURTIS_H001601_T01_01_WG01,IC10,ddr,TRUE
CURTIS_H001601_T01_01_WG01,IC10,ubi,FALSE
CURTIS_H001601_T01_01_WG01,IC10,cell_cycle,TRUE
CURTIS_H001602_T01_01_WG01,IC10,ddr,TRUE
CURTIS_H001602_T01_01_WG01,IC10,ubi,FALSE
CURTIS_H001602_T01_01_WG01,IC10,cell_cycle,FALSE
CURTIS_H001603_T01_01_WG01,IC4ER-,ddr,FALSE
CURTIS_H001603_T01_01_WG01,IC4ER-,ubi,FALSE
CURTIS_H001603_T01_01_WG01,IC4ER-,cell_cycle,FALSE
CURTIS_H001605_T01_01_WG01,IC10,ddr,TRUE
CURTIS_H001605_T01_01_WG01,IC10,ubi,FALSE
CURTIS_H001605_T01_01_WG01,IC10,cell_cycle,FALSE
CURTIS_H001606_T01_01_WG01,IC10,ddr,TRUE
CURTIS_H001606_T01_01_WG01,IC10,ubi,FALSE
CURTIS_H001606_T01_01_WG01,IC10,cell_cycle,FALSE
CURTIS_H001607_T01_01_WG01,IC10,ddr,TRUE
CURTIS_H001607_T01_01_WG01,IC10,ubi,FALSE
CURTIS_H001607_T01_01_WG01,IC10,cell_cycle,FALSE
CURTIS_H001608_T01_01_WG01,IC10,ddr,FALSE
CURTIS_H001608_T01_01_WG01,IC10,ubi,TRUE
CURTIS_H001608_T01_01_WG01,IC10,cell_cycle,FALSE
CURTIS_H001609_T01_01_WG01,IC10,ddr,TRUE
CURTIS_H001609_T01_01_WG01,IC10,ubi,FALSE
CURTIS_H001609_T01_01_WG01,IC10,cell_cycle,FALSE
CURTIS_H001610_T01_01_WG01,IC10,ddr,TRUE
CURTIS_H001610_T01_01_WG01,IC10,ubi,FALSE
CURTIS_H001610_T01_01_WG01,IC10,cell_cycle,FALSE
CURTIS_H001612_T01_01_WG01,IC10,ddr,FALSE
CURTIS_H001612_T01_01_WG01,IC10,ubi,FALSE
CURTIS_H001612_T01_01_WG01,IC10,cell_cycle,FALSE
CURTIS_H001617_T01_01_WG01,IC10,ddr,FALSE
CURTIS_H001617_T01_01_WG01,IC10,ubi,FALSE
CURTIS_H001617_T01_01_WG01,IC10,cell_cycle,FALSE
CURTIS_H001618_T01_01_WG01,IC10,ddr,TRUE
CURTIS_H001618_T01_01_WG01,IC10,ubi,FALSE
