sample	ampliconID	Freq	width	FreqNorm	tf	type	group
CURTIS_H000485_T01_01_WG01	amplicon3	135	10729084	12.5826212191087	ESR1	cyclic	ESR1_cyclic
CURTIS_H000524_T01_01_WG01	amplicon3	313	22773204	13.7442232546637	ESR1	cyclic	ESR1_cyclic
CURTIS_H000553_T01_01_WG01	amplicon3	492	39905968	12.3289829731733	ESR1	cyclic	ESR1_cyclic
CURTIS_H000558_T01_01_WG01	amplicon3	115	13791268	8.33860961878197	ESR1	cyclic	ESR1_cyclic
CURTIS_H000581_T01_01_WG01	amplicon3	18	1850352	9.72787880360061	ESR1	cyclic	ESR1_cyclic
CURTIS_H001400_T01_01_WG01	amplicon3	277	20828704	13.2989551342225	ESR1	cyclic	ESR1_cyclic
CURTIS_H001401_T01_01_WG01	amplicon3	149	14611045	10.1977647731562	ESR1	cyclic	ESR1_cyclic
CURTIS_H001486_T01_01_WG01	amplicon3	45	10943911	4.11187554430952	ESR1	cyclic	ESR1_cyclic
CURTIS_H001545_T01_01_WG01	amplicon3	229	19684175	11.6337108362428	ESR1	cyclic	ESR1_cyclic
CURTIS_H004188_T01_01_WG01	amplicon3	373	36938680	10.0978161645191	ESR1	cyclic	ESR1_cyclic
CURTIS_H004536_T01_01_WG01	amplicon3	57	6357424	8.96589562061615	ESR1	cyclic	ESR1_cyclic
CURTIS_H001545_T01_01_WG01	amplicon4	45	8489398	5.30072921542847	ESR1	cyclic	ESR1_cyclic
CURTIS_H001630_T01_01_WG01	amplicon4	248	26519198	9.35171568913962	ESR1	cyclic	ESR1_cyclic
CURTIS_H001400_T01_01_WG01	amplicon5	65	6169379	10.5359064502278	ESR1	cyclic	ESR1_cyclic
CURTIS_H001682_T01_01_WG01	amplicon5	12	1417515	8.46551888339806	ESR1	cyclic	ESR1_cyclic
CURTIS_H001728_T01_01_WG01	amplicon5	96	8316703	11.5430357438519	ESR1	cyclic	ESR1_cyclic
CURTIS_H004369_T01_01_WG01	amplicon5	290	24568518	11.8037237736521	ESR1	cyclic	ESR1_cyclic
CURTIS_H000382_T01_01_WG01	amplicon1	73	10749784	6.79083412280656	ESR1	noncyclic	ESR1_noncyclic
CURTIS_H000399_T01_01_WG01	amplicon1	204	18617077	10.9576814878082	ESR1	noncyclic	ESR1_noncyclic
CURTIS_H000438_T01_01_WG01	amplicon1	79	4660723	16.9501598786283	ESR1	noncyclic	ESR1_noncyclic
CURTIS_H000472_T01_01_WG01	amplicon1	6	1727787	3.47265027459982	ESR1	noncyclic	ESR1_noncyclic
CURTIS_H000487_T01_01_WG01	amplicon1	42	4575808	9.17870679888667	ESR1	noncyclic	ESR1_noncyclic
CURTIS_H000489_T01_01_WG01	amplicon1	63	3397848	18.5411472202406	ESR1	noncyclic	ESR1_noncyclic
CURTIS_H000524_T01_01_WG01	amplicon1	28	4766032	5.87490809965187	ESR1	noncyclic	ESR1_noncyclic
CURTIS_H000527_T01_01_WG01	amplicon1	212	13111269	16.1692968087223	ESR1	noncyclic	ESR1_noncyclic
CURTIS_H000530_T01_01_WG01	amplicon1	23	2690838	8.54752311361739	ESR1	noncyclic	ESR1_noncyclic
CURTIS_H000534_T01_01_WG01	amplicon1	0	541444	0	ESR1	noncyclic	ESR1_noncyclic
