Sample,group,cohort,ecdna,FGFR1,MYC,CCND1,ERBB2,MSI2,PPM1D,TypeI_IFN,Cohort,SampleToJoin,label
CURTIS_H000502,HER2+,PCAWG,TRUE,2.6,2.6,2.6,2.6,2.6,2.6,-0.215295067256173,TCGA,TCGA-E2-A14P,HER2+
CURTIS_H000504,IC10,PCAWG,FALSE,1.8,1.8,1.8,1.8,1.8,1.8,-0.0533272486682203,TCGA,TCGA-AR-A1AY,IC10
CURTIS_H000505,ER+ High,PCAWG,TRUE,2.1,2.1,2.1,2.1,2.1,2.1,0.0165995252264736,TCGA,TCGA-A8-A07B,ic9
CURTIS_H000506,IC10,PCAWG,FALSE,3.4,3.4,3.4,3.4,3.4,3.4,0.30543824947362,TCGA,TCGA-EW-A1PH,IC10
CURTIS_H000510,IC10,PCAWG,FALSE,2.7,2.7,2.7,2.7,2.7,2.7,0.146250595294405,TCGA,TCGA-E2-A1LL,IC10
CURTIS_H000511,ER+ High,PCAWG,TRUE,4,4,4,4,4,4,-0.148606779532086,TCGA,TCGA-A2-A25B,ic1
CURTIS_H000513,ER+ High,PCAWG,TRUE,4.5,4.5,4.5,4.5,4.5,4.5,0.147814817674776,TCGA,TCGA-E2-A1LK,ic9
CURTIS_H000514,IC10,PCAWG,FALSE,1.7,1.7,1.7,1.7,1.7,1.7,-0.18274115191909,TCGA,TCGA-AN-A0AT,IC10
CURTIS_H000515,IC10,PCAWG,FALSE,1.5,1.5,1.5,1.5,1.5,1.5,-0.034511383266535,TCGA,TCGA-EW-A1P8,IC10
CURTIS_H000516,IC10,PCAWG,TRUE,3.2,3.2,3.2,3.2,3.2,3.2,0.0641517421525288,TCGA,TCGA-BH-A0WA,IC10
CURTIS_H000517,IC10,PCAWG,FALSE,2.9,2.9,2.9,2.9,2.9,2.9,0.222392805744742,TCGA,TCGA-A2-A0D0,IC10
CURTIS_H000518,HER2+,PCAWG,TRUE,2.1,2.1,2.1,2.1,2.1,2.1,-0.143477375385719,TCGA,TCGA-A1-A0SM,HER2+
CURTIS_H000520,HER2+,PCAWG,TRUE,3.8,3.8,3.8,3.8,3.8,3.8,0.468432592506984,TCGA,TCGA-A8-A08S,HER2+
